author,birth_year,death_year,activity_start,activity_end,activity_method,source_type,source_1,source_2,evidence_summary,confidence,review_status,research_note
万楚,,,,,unknown,人物资料待核,,,未获得可稳定匹配的生卒年或连续创作期资料,低,needs_review,保留待核状态而不以推测年份定位
元稹,779,831,794,831,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
冯待征,,,,,unknown,人物资料待核,https://www.guoxuemeng.com/shiren/432391.html,,网页人物简介标明生卒不详,低,needs_review,保留待核状态而不以推测年份定位
司空图,837,908,865,907,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
吴融,846,903,869,902,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
孟浩然,689,740,708,737,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
孟郊,751,814,779,814,poet_chronology,唐诗分期研究,王兆鹏〈基于数据分析的唐诗分期：五期六段说〉（2025）表1,https://www.southacademic.com/attachment/0/15/15282/1315610.pdf,表1列出诗人生卒年和开始终止创作时间,中,manual_single_source,后续可用专门年谱复核
崔涂,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q3376455,,仅见出生年线索而未获可稳定确认的完整生卒期,低,needs_review,保留待核状态而不以推测年份定位
崔涯,,,,,unknown,人物资料待核,https://www.wikidata.org/wiki/Q45473411,,同名候选与人物年代尚未稳定消歧,低,needs_review,保留待核状态而不以推测年份定位
崔颢,704,754,,,lifespan_only,Wikidata人物条目,https://www.wikidata.org/wiki/Q715570,,结构化人物条目列出生卒年；当前仅作生涯中点兜底,低,needs_review,未将生卒年写入活动期字段
