author,title_cn,壮怀逸兴,孤愤悲慨,死生超然,同袍之谊,家国义愤,功名热望,功名幻灭,苍茫孤寂
李白,杂曲歌辞 少年行三首 三,10,7,8,7,7,9,7,0
韩翃,赠张建,7,7,8,2,8,7,7,7
李峤,筝,8,7,7,2,4,7,7,2
王维,榆林郡歌,7,6,2,7,6,7,7,3
李峤,桂,8,7,3,2,5,7,7,3
李白,杂曲歌辞 白马篇,7,2,9,3,7,7,8,3
郭震,古剑篇,7,2,7,2,4,8,2,7
王昌龄,塞下曲四首 一,2,7,2,3,7,7,7,7
冯待征,虞姬怨,6,8,2,2,3,6,7,7
耿𣲗,酬张少尹秋日凤翔西郊见寄,7,7,7,2,2,7,7,0
刘禹锡,百舌吟,8,7,3,2,7,8,2,2
马戴,赠别北客,7,2,2,2,8,8,2,3
温庭筠,侠客行,7,0,6,2,8,7,2,7
李白,杂曲歌辞 侠客行,8,2,3,7,7,7,2,2
万楚,杂曲歌辞 茱萸女,7,7,7,2,2,7,7,2
韦元旦,奉和九日幸临渭亭登高应制得月字,8,2,7,3,8,7,2,3
贺朝,从军行,7,2,8,2,9,7,2,3
杜甫,鹿头山,3,7,2,2,7,7,7,3
李益,赴邠宁留别,7,2,7,2,8,7,0,7
孟郊,杂曲歌辞 游侠行,8,0,7,3,9,8,0,2
张柬之,出塞,7,2,7,2,8,7,2,2
马戴,广陵曲,7,2,6,2,9,8,0,3
王昌龄,杂曲歌辞 少年行二首 一,8,2,8,2,8,8,0,1
崔颢,杂曲歌辞 游侠篇,8,2,8,2,7,8,0,2
杨炯,紫骝马,8,1,7,2,8,8,0,1
王维,济上四贤咏 成文学,6,7,2,2,2,7,7,2
杜甫,七月三日亭午已后较热退晚加小凉稳睡有诗因论壮年乐事戏呈元二十一曹长,8,7,7,2,2,7,0,2
杨凝,春情,8,2,2,2,8,8,0,2
孟浩然,醉后赠马四,8,7,7,2,2,8,0,0
孟浩然,同储十二洛阳道中作,7,7,7,0,2,7,2,2
卢照邻,杂曲歌辞 结客少年场行,8,1,7,0,7,8,0,2
骆宾王,畴昔篇,7,7,8,0,0,2,2,7
顾况,赠别崔十三长官,7,7,7,2,7,4,0,2
卢照邻,横吹曲辞 刘生,7,7,3,3,1,2,7,2
王维,杂曲歌辞 少年行四首 一,7,7,7,0,2,7,2,0
高适,杂曲歌辞 邯郸少年行,8,2,2,7,0,7,7,0
虞羽客,杂曲歌辞 结客少年场行,8,7,8,2,0,2,3,0
卢照邻,长安古意,8,7,8,2,0,2,2,1
高适,送浑将军出塞,7,7,0,2,1,3,7,3
张易之,横吹曲辞 出塞,9,0,3,0,8,8,0,2
元稹,杂曲歌辞 侠客行,7,3,2,3,2,7,7,0
蔡孚,打毬篇,8,7,7,2,3,7,2,2
钱起,逢侠者,7,0,3,2,6,7,1,2
刘禹锡,和董庶中古散调词赠尹果毅,3,7,2,2,3,2,7,3
崔涂,东晋 一,7,0,3,2,8,7,0,2
韩偓,赠湖南李思齐处士,8,0,3,2,8,8,0,2
王维,横吹曲辞 陇头吟,7,2,3,7,2,2,3,2
王维,杂曲歌辞 少年行四首 三,8,2,2,7,1,7,2,1
王维,送高适弟耽归临淮作,7,2,2,2,2,3,3,5
权德舆,薄命篇,7,7,2,2,2,2,6,2
李贺,马诗二十三首 十三,7,8,7,2,0,2,0,2
雍陶,少年行,3,7,2,2,2,2,7,2
郑鏦,邯郸侠少年,2,2,2,7,2,2,3,7
虞世南,相和歌辞 从军行二首 二,2,7,0,3,3,2,2,7
李益,相和歌辞 从军有苦乐行,2,3,3,2,0,2,7,7
王维,故人张諲工诗善易卜兼能丹青草隶顷以诗见赠聊获酬之,3,2,3,8,3,2,3,2
吴融,偶题,3,0,2,3,3,8,0,2
寒山,诗三百三首 五十四,2,0,0,2,7,0,7,7
李峤,弹,9,2,2,0,2,3,7,0
薛逢,侠少年,7,2,2,2,2,7,2,0
戴休珽,古意,7,0,2,2,7,8,0,0
骆宾王,代女道士王灵妃赠道士李荣,7,3,8,0,2,3,0,0
崔涯,侠士诗,7,3,8,2,0,2,0,0
李白,相和歌辞 猛虎行,7,2,2,2,0,7,3,0
杨炯,骢马,2,2,7,2,2,2,2,2
李颀,古意,3,2,2,0,7,2,2,3
许浑,晨装,7,2,3,2,1,3,2,0
李白,舞曲歌辞 东海有勇妇,3,0,2,8,2,2,0,2
王维,燕支行,3,3,2,0,2,2,3,3
王维,同比部杨员外十五夜游有怀静者季,3,2,2,2,2,7,0,2
杜甫,赠苏四徯,2,7,0,0,3,2,2,2
陈子良,游侠篇,2,1,3,3,3,2,3,0
骆宾王,送郑少府入辽共赋侠客远从戎,8,0,2,2,0,2,3,1
戴叔伦,边城曲,2,2,2,0,2,2,9,0
司空图,冯燕歌,7,2,2,0,2,2,2,0
