record_id,author,title_original,title_normalized,cluster,duplicate_of,corpus_scope,date_start,date_end,date_label,date_precision,dating_status,dating_method,source_type,manual_source_1,manual_source_2,evidence_quote_or_summary,review_status,research_note,confidence,verification_status,lookup_status,lookup_note,match_score,source_dataset,source_basis,source_url,evidence_note,audit_note,search_query,timeline_year,timeline_status,timeline_basis,timeline_anchor_start,timeline_anchor_end,timeline_center_year,timeline_offset,timeline_confidence,timeline_note
P001,王维,横吹曲辞 陇头吟,横吹曲辞 陇头吟,豪侠交游类,,唐,720,720,720年,单年系年,exact,chronological_edition,开放知识图谱,,,,auto_only,,中,已匹配且有系年,matched,,0.556,唐宋文学编年地图（古籍文献知识图谱网）,张清华《王维年谱》第27页,https://open.cnkgraph.com/Writing/9320,class='label1' id='8e98a339c6de4750bee167881da5cd6a_label'> — 720年 ，21岁 720年 继与诸王交游，有诗。作品：陇头吟。 出处：张清华《王维年谱》第27页 <div,,王维《陇头吟》,720,observed_exact,date_exact,720,720,720,0,中,采用作品级单年系年。
P002,张易之,横吹曲辞 出塞,横吹曲辞 出塞,豪侠交游类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E5%BC%A0%E6%98%93%E4%B9%8B%E3%80%8A%E5%87%BA%E5%A1%9E%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,677.5,inferred_lifespan_cluster,lifespan,650,705,677.5,0,低,未定年作品按作者生卒年中点对称展开。
P003,杜甫,横吹曲辞 后出塞五首 四,横吹曲辞 后出塞五首,侠义抒怀类,,唐,755,759,755年；另有乾元秦州说（约759年）,争议范围,disputed,chronological_edition,编年全集,《杜甫全集校注》（人民文学出版社）第636页,https://open.cnkgraph.com/Writing/31503,编年材料主系于755年；钱谦益、朱鹤龄、卢元昌另系于乾元年间秦州时期，约759年。,manual_single_source,现阶段保留两个主要系年，不取平均值。,低,人工复核且有系年,matched,,0.555,唐宋文学编年地图（古籍文献知识图谱网）,人民文学出版社《杜甫全集校注》第636页,https://open.cnkgraph.com/Writing/31503,class='label1' id='815921fb672546d3a60ea36e87324139_label'> — 755年 ，44岁 755年 感安禄山边疆生事、恃宠骄纵，朝廷纵容，有诗以讽。作品：《后出塞五首》 （U157，钱谦益、朱鹤龄、卢元昌认为此诗作于乾元年间在秦州时。） 出处：人民文学出版社《杜甫全集校注》第636页 后出塞五首 （一作横吹曲辞 后出塞五首 一） 其一 （755年） 唐 · 杜甫 引用典故： 封侯 男儿生世间，及壮当 封侯 。 战伐有功业，焉能守 旧丘 。 召募赴蓟门，军动不可留。 千金买马鞭 （一作鞍） ，百金装 刀头 。 闾里送我行，亲戚拥道周。 斑白 居 上列 ，酒酣进 庶羞 。 少年别有赠，含笑看吴钩。 评注 （点击查看或隐藏评注） 其二 （755年） 引用典故： 霍嫖姚 朝进东门营 （一作营门） ，暮上 河阳桥 。 落日 照大旗，马鸣风萧萧。 平沙列万幕，部伍各见招。 中天 悬明月，令严夜寂寥。 悲笳 数声动，壮士惨不骄。 借问 大将 谁 ⑴ ，恐是 霍 嫖姚 。 ⑴ 天宝二年，禄山入朝，进骠骑大将军 评注 （点击查看或隐藏评注） 其三 （755年） 古人重 守边 ，今人 （一作日） 重 高勋 。 岂知英雄主，出师亘 （一作直） 长云。 六合已一家，四夷且孤军。 遂使貔 （一作螭） 虎 （一作武） 士，奋身勇所闻。 拔剑击大荒，日收胡马群。 誓开 玄冥 北，持以奉吾君。 评注 （点击查看或隐藏评注） <div,,杜甫《后出塞五首 四》,757,observed_range_center,date_range_center,755,759,757,0,低,采用作品级系年范围的算术中点。
P004,卢照邻,横吹曲辞 刘生,横吹曲辞 刘生,侠义抒怀类,,唐,,,,未知,undated,unknown,诗人编年资料,任国绪《卢照邻集编年笺注》（黑龙江人民出版社，1989）,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=56,已检索诗人编年资料与公开诗歌目录，未找到可核验的具体作年。,needs_review,《刘生》题名短且同题乐府较多，需继续核对编年笺注原页及异题。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E5%8D%A2%E7%85%A7%E9%82%BB%E3%80%8A%E5%88%98%E7%94%9F%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,660.5,inferred_activity_cluster,activity_period,652,681,666.5,-6,中,未定年作品按作者活动期中点对称展开。
P005,李白,相和歌辞 猛虎行,相和歌辞 猛虎行,侠义抒怀类,,唐,756,756,756年,单年系年,exact,chronological_edition,开放知识图谱,,,,auto_only,,中,已匹配且有系年,matched,,0.727,唐宋文学编年地图（古籍文献知识图谱网）,吕华明、程安庸、刘金平《李太白年谱补正》第432页,https://open.cnkgraph.com/Writing/26234,class='label1' id='410a11c80bd4406f98aa2a3e765d7e40_label'> — 756年 ，56岁 756年 赴越途中，行至溧阳，与张旭宴别，有诗。作品：《猛虎行》 出处：吕华明、程安庸、刘金平《李太白年谱补正》第432页 <div,,李白《相和歌辞 猛虎行》,756,observed_exact,date_exact,756,756,756,0,中,采用作品级单年系年。
P006,虞世南,相和歌辞 从军行二首 二,相和歌辞 从军行二首,豪侠交游类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E8%99%9E%E4%B8%96%E5%8D%97%E3%80%8A%E4%BB%8E%E5%86%9B%E8%A1%8C%E4%BA%8C%E9%A6%96%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,608,inferred_activity_cluster,activity_period,578,638,608,0,中,未定年作品按作者活动期中点对称展开。
P007,李益,相和歌辞 从军有苦乐行,相和歌辞 从军有苦乐行,隐逸怀古类,,唐,,,,未知,undated,unknown,诗人年谱与生平考辨,卞孝萱《李益年谱稿》,https://www.newsmth.net/bbsanc.php?path=%2Fgroups%2Fliteral.faq%2FClassicPoem%2Fcp_list_sych%2Fscyj%2F20sjstwdwxyjzs%2FM.1138165318.80,现有李益从军经历系年存在不同意见，公开材料未将本诗稳定系于某年。,needs_review,需核对《李益年谱稿》及《李益生平及诗歌系年诸问题考辨》原文。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E6%9D%8E%E7%9B%8A%E3%80%8A%E4%BB%8E%E5%86%9B%E6%9C%89%E8%8B%A6%E4%B9%90%E8%A1%8C%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,787.5,inferred_lifespan_cluster,lifespan,748,827,787.5,0,低,未定年作品按作者生卒年中点对称展开。
P008,李白,舞曲歌辞 东海有勇妇,舞曲歌辞 东海有勇妇,市井任侠类,,唐,745,745,745年,单年系年,exact,chronological_edition,开放知识图谱,,,,auto_only,,中,已匹配且有系年,matched,,0.660,唐宋文学编年地图（古籍文献知识图谱网）,安旗主编《李白全集编年笺注》第673页,https://open.cnkgraph.com/Writing/25920,class='label1' id='aa9729d49d874ce580503c2020fc52e2_label'> — 745年 ，45岁 745年 在东鲁，见李邕，有诗。作品：《东海有勇妇》 出处：安旗主编《李白全集编年笺注》第673页 <div,,李白《东海有勇妇》,745,observed_exact,date_exact,745,745,745,0,中,采用作品级单年系年。
P009,李白,杂曲歌辞 白马篇,杂曲歌辞 白马篇,侠义抒怀类,,唐,,,,未知,undated,unknown,编年笺注与诗文系年,安旗主编《李白全集编年笺注》,https://www.tdwxxh.cn/newsinfo/4626591.html,编年笺注可覆盖李白多数作品，但当前公开检索未取得《白马篇》的具体系年原页。,needs_review,不采用缺少引文页码的“约731年”网络说法；待查编年笺注。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E6%9D%8E%E7%99%BD%E3%80%8A%E7%99%BD%E9%A9%AC%E7%AF%87%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,730.666667,inferred_activity_cluster,activity_period,715,762,738.5,-7.833333,中,未定年作品按作者活动期中点对称展开。
P010,李颀,杂曲歌辞 缓歌行,杂曲歌辞 缓歌行,隐逸怀古类,,唐,,,,未知,undated,unknown,诗人生平考证,谭优学《李颀行年考》,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=35,公开诗歌目录及生平考证索引未提供《缓歌行》的可核验作年。,needs_review,待查谭优学、傅璇琮相关考证原文，并核对乐府异题。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E6%9D%8E%E9%A2%80%E3%80%8A%E7%BC%93%E6%AD%8C%E8%A1%8C%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,710.333333,inferred_lifespan_cluster,lifespan,690,751,720.5,-10.166667,低,未定年作品按作者生卒年中点对称展开。
P011,虞羽客,杂曲歌辞 结客少年场行,杂曲歌辞 结客少年场行,边塞报国类,,唐,,,,未知,undated,unknown,开放知识图谱,,,,auto_only,,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E8%99%9E%E7%BE%BD%E5%AE%A2%E3%80%8A%E7%BB%93%E5%AE%A2%E5%B0%91%E5%B9%B4%E5%9C%BA%E8%A1%8C%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,,unavailable,,,,,,,
P012,卢照邻,杂曲歌辞 结客少年场行,杂曲歌辞 结客少年场行,边塞报国类,,唐,,,,未知,undated,unknown,诗人编年资料,任国绪《卢照邻集编年笺注》（黑龙江人民出版社，1989）,https://www.sou-yun.cn/PoemBookNav.aspx?b=&d=56,公开诗歌目录收录《结客少年场行》，但未标明具体年份。,needs_review,待核对编年笺注原页；目前不以卢照邻任官阶段代替作年。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E5%8D%A2%E7%85%A7%E9%82%BB%E3%80%8A%E7%BB%93%E5%AE%A2%E5%B0%91%E5%B9%B4%E5%9C%BA%E8%A1%8C%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,672.5,inferred_activity_cluster,activity_period,652,681,666.5,6,中,未定年作品按作者活动期中点对称展开。
P013,李白,杂曲歌辞 少年行三首 三,杂曲歌辞 少年行三首,豪侠交游类,,唐,,,,未知,undated,unknown,编年笺注与诗文系年,安旗主编《李白全集编年笺注》,https://www.tdwxxh.cn/newsinfo/4626591.html,当前公开检索未取得《少年行三首》其三的具体系年依据。,needs_review,需注意组诗各首是否同作一时，并核对詹锳《李白诗文系年》。,低,未匹配,endpoint_error,API request failed: https://open.cnkgraph.com/api/Biography/Poems/%E6%9D%8E%E7%99%BD%E3%80%8A%E5%B0%91%E5%B9%B4%E8%A1%8C%E4%B8%89%E9%A6%96%E3%80%8B?dynasty=%E5%94%90: Expecting value: line 1 column 1 (char 0),,唐宋文学编年地图（古籍文献知识图谱网）,,https://open.cnkgraph.com/Home/OpenResources,,,,746.333333,inferred_activity_cluster,activity_period,715,762,738.5,7.833333,中,未定年作品按作者活动期中点对称展开。
