词语,词频,分类
侠客,54,人物形象类
少年,38,人物形象类
游侠,31,人物形象类
月,21,风霜雨雪水云类
黄金,20,器物类
纪事,18,器物类
意气,18,事物类
人,17,人物形象类
白日,16,风霜雨雪水云类
欲,16,情感类
邯郸,14,地理类
丈夫,14,人物形象类
白马,14,动物类
将军,14,人物形象类
宝剑,14,器物类
长安,14,地理类
年,14,时间类
时,13,时间类
东海,12,地理类
桃李,12,草木类
天子,12,人物形象类
青丝,12,身体部位类
洛阳,12,地理类
日,12,风霜雨雪水云类
明月,10,风霜雨雪水云类
空床,10,器物类
八月,10,时间类
平生,10,人物形象类
行人,10,人物形象类
瀚海,10,地理类
草木,10,草木类
烽火,10,事物类
任侠,10,人物形象类
儿,10,人物形象类
辞,10,事物类
道,10,地理类
长,10,形容类
事,10,事物类
今,9,时间类
春,9,时间类
客,9,人物形象类
剑,8,器物类
子,8,人物形象类
侠,8,人物形象类
百年,8,时间类
落日,8,风霜雨雪水云类
举世,8,时间类
燕赵,8,地理类
宝刀,8,器物类
死路,8,地理类
蛾眉,8,身体部位类
王侯,8,人物形象类
当时,8,时间类
大道,8,地理类
千金,8,器物类
红尘,8,事物类
风尘,8,事物类
红颜,8,人物形象类
知己,8,人物形象类
关西,8,地理类
流星,8,风霜雨雪水云类
风光,8,风霜雨雪水云类
浮云,8,风霜雨雪水云类
咸阳,8,地理类
天下,8,地理类
男儿,8,人物形象类
五陵,8,地理类
身,7,身体部位类
马,7,动物类
中,7,时间类
歌,6,器物类
报,6,器物类
名,6,事物类
雪,6,风霜雨雪水云类
色,6,颜色类
头,6,身体部位类
京华,6,地理类
由来,6,事物类
边城,6,地理类
丹凤,6,动物类
黄沙,6,地理类
美酒,6,器物类
羽书,6,器物类
大梁,6,地理类
山河,6,地理类
天上,6,地理类
须臾,6,时间类
文字,6,事物类
高台,6,器物类
连营,6,器物类
霜雪,6,风霜雨雪水云类
白首,6,风霜雨雪水云类
匈奴,6,人物形象类
梅花,6,花卉类
目前,6,时间类
汉家,6,人物形象类
渔阳,6,地理类
燕山,6,地理类
鸳鸯,6,动物类
沧海,6,地理类
红粉,6,颜色类
骏马,6,动物类
使君,6,人物形象类
阴风,6,风霜雨雪水云类
君子,6,人物形象类
故人,6,人物形象类
粉妆,6,身体部位类
深情,6,情感类
门外,6,地理类
日暮,6,风霜雨雪水云类
戴斗乡,6,地理类
朱门,6,器物类
安知,6,情感类
南山,6,地理类
萧关,6,地理类
大义,6,情感类
陌上,6,风霜雨雪水云类
关东,6,地理类
侠骨,6,人物形象类
青楼,6,地理类
廷尉,6,人物形象类
阴山,6,地理类
杨柳,6,器物类
光辉,6,情感类
令人,6,情感类
壮士,6,人物形象类
武威,6,情感类
万乘,6,器物类
玉,5,器物类
金,5,颜色类
酒,4,器物类
弓,4,器物类
鳞,4,器物类
迹,4,事物类
水,4,风霜雨雪水云类
本,4,器物类
书,4,器物类
岁,4,时间类
文,4,人物形象类
心,4,情感类
终,4,情感类
妾,4,人物形象类
京兆,4,地理类
垂柳,4,器物类
酒楼,4,地理类
秋霜,4,风霜雨雪水云类
战场,4,地理类
酒气,4,器物类
龙泉,4,地理类
单于,4,人物形象类
十年,4,时间类
